token_address,current_price,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,token_name,token_symbol,current_price_usd
hmryyfbs9vdzhhygebvz8dpszyg6f68wxuqjfy8nwrrz,,2024-04-28_12-14-19,4h 31m,4362,"3,908",$61K,"3,773",2.55%,14.37%,23.68%,23.68%,$78K,$127K,🦥 SUPER LAZY SLERF,🦥SLZ,$0.0004264
jaq8ecrhvqbyrmx2sui2rgy88tkczmk9xkn1c9etc9cx,,2024-04-28_12-14-19,4h 35m,39,27,$1.9K,8,-6.36%,-7.81%,18.35%,18.35%,$4.9K,$726K,steep jubs ,opple,$0.007260
4kqsbj2zwjdsbqabjuju1avxz4d8lrk3jgqywdkf5es4,,2024-04-28_12-14-19,4h 36m,280,245,$33K,198,-0.21%,0.41%,0.08%,0.08%,$4.4K,$123.2M,MANEKI,MANEKI,$0.01386
4hqq5zzgwesuambugw4czwfbxxsudtdw2tkf3m64lkgh,,2024-04-28_12-14-19,4h 37m,129,111,$4.0K,114,0%,-13.51%,81.07%,81.07%,$1.5K,$1.4K,HAMSTER VIKING,HVIK,$0.051474
8djwaqqctapypz64mh1qp2nkl5javf6yseeduvvrjs8t,,2024-04-28_12-14-19,4h 42m,22,6,$2.7K,4,0%,0%,324%,324%,$5.9K,$6.1K,RITO the Dog ( 968y6NCDN72X1Vw5R6SLDCHj6rHTcxoYVGbXKv1S1oCM ),RITO,$0.056103
2fi2gzqqtbhzmtotcotpvlahheyco3oubwb4nv4artrp,,2024-04-28_12-14-19,4h 49m,820,791,$132K,728,0%,0%,-93.51%,-93.51%,$5.9K,$3.6K,JeetStar Gomes,JS,$0.053615
hhtbumpfbg5snzrdseyrdramgun23zrnmqrey7qjpygh,,2024-04-28_12-14-19,4h 52m,4247,"4,157",$542K,"3,885",0%,-4.03%,-66.40%,-66.40%,$2.3K,$1.6K,Dede On Solana,$DEDE,$0.051671
fhjxy5hr7mmmj1wnmkx6ruzflpyqvrgglfeuypzqciqg,,2024-04-28_12-14-19,4h 52m,165,232,$6.3K,163,-0.34%,-2.99%,51.50%,51.50%,$2.3K,$2.3K,What's Up Brother,SUPBRTHR,$0.051961
6tebuuqgvbxa7ghb4rbmndrcjpcce3wadpmrdfb5jj8c,,2024-04-28_12-14-19,4h 52m,99,85,$5.1K,98,0%,-1.00%,-9.69%,-9.69%,$1.9K,$1.8K,IKEA GUNLEIF,GUNLEIF,$0.00003641
7m4grpnbtpcxoispcrnkcnldgvwsnummkjszkqgd8haq,,2024-04-28_12-14-19,4h 54m,172,94,$5.6K,167,0%,30.08%,117%,117%,$2.1K,$1.8K,RaccoonCoin,RACCOON,$0.051830
f1fngpuwnyzwjujgq5j3s87wzbgynrnph6u6hok4vzhx,,2024-04-28_12-14-19,5h 3m,433,374,$57K,333,0%,20.66%,38.76%,38.76%,$2.1K,$1.5K,Pudgy Penguins,pudgy,$0.00001579
dnn7defvrgsyhfgby58emrzbacazckzjnngvzzwsxkbe,,2024-04-28_12-14-19,5h 5m,29,17,$588,29,0%,0%,-3.45%,-3.45%,$17K,$85K,Jesus,Jesus,$0.0004057
