token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv
Let's Go Boden,LGB,bpzwi5xappt8zcrwuytiqkutrpcryoxpfqar2lxbx7gv,0.057651,2024-04-29_16-24-35,1320,639,356,66000.0,516,-0.74,-32.47,423,423,48000.0,76000.0
Silver Surfer Solana,SSS,cig5rzypfeztnwucavnqcuqhk2wdyjvbwnf8fnimhjcn,0.0001885,2024-04-29_16-24-35,1380,85,53,11000.0,92,0,-4.81,-6.29,-6.29,26000.0,188000.0
Nihao Cat,NIHAO,7or2j2klh4wmxxyncqwercssd1pw1gsuyck723qqjcpi,0.004046,2024-04-29_16-24-35,1620,10,8,353.0,7,0,28.75,9.64,9.64,14000.0,404000.0
caht,meow,9fy7foktgyp3dlzmvjnrxtb4nk4murx4bwtj5ki52mfh,0.0001004,2024-04-29_16-24-35,1740,431,692,45000.0,400,0,0.97,-50.52,-50.52,16000.0,10000.0
QUACK AINT QUACKING,AIN'TQUACK,3svutpmtgsn6hh74furmkhyz6jjcut46jqutfgloouwy,0.053889,2024-04-29_16-24-35,1740,556,510,120000.0,501,0,-17.00,-92.76,-92.76,60000.0,38000.0
Mike Tysol,TYSOL,887amt21sgvuheg2e5raqayhrhahqjprlu4dpuheb9ut,0.066647,2024-04-29_16-24-35,2160,199,393,16000.0,177,0,0.15,-9.56,-9.56,11000.0,665.0
Wonk,WONK,bxk3yj2k1hcde7aswski5b83yypk2gcrd7atf4mkyfjc,0.069084,2024-04-29_16-24-35,2700,399,465,42000.0,323,0,-3.80,54.69,54.69,13000.0,908.0
Gucci Cat,GUCAT,gz98dqfzc4kyrjtuj5mmytdedhwrngu6m8hbfedf1xam,0.0003679,2024-04-29_16-24-35,2820,1272,1392,223000.0,950,40.43,-94.07,20.27,20.27,38000.0,36000.0
FukuFlip,FUKU,6eazjb5czq9pneznjpv9qsxk7od72fpwnct4nhee3afy,0.00002980,2024-04-29_16-24-35,2820,1451,1181,502000.0,1007,-0.37,-28.82,94.69,94.69,41000.0,29000.0
CoolCoin,COOL,9yapdswtaoduu79v5h8nteutbqxzpffymgjhftkjh84v,0.053619,2024-04-29_16-24-35,2940,43,9,559.0,3,0,3.95,33.66,33.66,62000.0,36000.0
Quack Capital,QUACK,7afkvh92osy8i4jacgdb2ti6otevdi3mbjxrzbnhfijv,0.0005861,2024-04-29_16-24-35,3000,10000,4782,167000000.0,4896,2.76,42.01,5150,5150,387000.0,23000000.0
Fag Inu,FAG,h3amjrgssawjstugfxawswtfqde1fggazuw8sykw3zwb,0.0007519,2024-04-29_16-24-35,3060,81,130,27000.0,146,0,0.84,-65.21,-65.21,14000.0,752.0
PEPE,PEPE,fr63zeanajqxtakhxst5st37brcpcpmwn6hyjozhlxnp,0.066532,2024-04-29_16-24-35,3120,187,717,14000.0,162,0,5.60,9.61,9.61,11000.0,653.0
Book of Trillionaire,BOT,2qeusgxrdwsbzkredkqqcegxtdq9knrephhtdzgz1jpi,0.0001161,2024-04-29_16-24-35,3120,415,1099,71000.0,413,0.08,0.98,-46.34,-46.34,20000.0,11000.0
SamTheCat,SAM,6mjjftvvsykrtuudzxcuqvthfw9hz5zptgcn7okjyujw,0.058027,2024-04-29_16-24-35,3240,163,540,27000.0,165,-0.22,-5.61,-70.31,-70.31,13000.0,803.0
FREECZ,FREECZ,7qsryqgr5kqw8jondqer8bonu6a9oztxijbe6dhc6lds,0.054573,2024-04-29_16-24-35,3240,288,263,57000.0,306,-6.22,-49.27,-91.58,-91.58,66000.0,45000.0
HurryPutterJeoBodenMew10Inu,SOLANA,d6dobcppqgugxqtk7vnuwan3ckjkw8nrjljqgjw9oz7d,0.053159,2024-04-29_16-24-35,3300,509,531,111000.0,495,-2.04,23.23,15.10,15.10,29000.0,31000.0
Quack Capital,QUACK,5h68dnafzxz8gqy2n5lp6aevsn6ktqfy7qssjxmcl7nf,0.001712,2024-04-29_16-24-35,3720,765,818,340000.0,625,0,-2.10,-57.11,-57.11,28000.0,17000.0
FreeCZ,FREECZ,f23slq12kwukpwnvjv5s3t1lcdm4371rdcmyjxk3eieg,0.002049,2024-04-29_16-24-35,3840,701,498,53000.0,320,-2.56,-19.40,376,376,17000.0,20000000.0
PROBE,PROBE,8k8gukp4snzvmzvymlmutlh9qlgmpktaoklsgwjxrehr,0.02857,2024-04-29_16-24-35,4080,0,2,788.0,2,0,0,-1.44,-1.44,15000.0,285000000.0
Chimpepe,CHPEP,872whebbam2spp82kkbeupepy2h3dmsprouxrvwcl6as,0.055789,2024-04-29_16-24-35,4260,394,249,16000.0,265,0.27,-6.93,313,313,49000.0,57000.0
